studyid,authors,year,state_or_territory,outcome,measure,time_status_of_measure,includes_complete_dichotomous,setting,studygroups,studygroups_alternative,ITT,technique,information reported,Parameter name,Coefficient/estimate,SE,DF,Page
7,Makkai & Veraar,2003,QLD,shop stealing offence ,survival,free time,Yes,DC,standard,prisoners,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3.2,NA,4,37
7,Makkai & Veraar,2003,QLD,fraud offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,1.5,NA,2,35
7,Makkai & Veraar,2003,QLD,fraud offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3,NA,4,37
7,Makkai & Veraar,2003,QLD,fraud offence,survival,free time,Yes,DC,accepted vs reffused,NA,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3,NA,4,37
7,Makkai & Veraar,2003,QLD,fraud offence,survival,free time,Yes,DC,standard,prisoners,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,1.5,NA,2,35
7,Makkai & Veraar,2003,QLD,fraud offence,survival,free time,Yes,DC,standard,prisoners,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3,NA,4,37
7,Makkai & Veraar,2003,QLD,fraud offence,survival,free time,Yes,DC,standard,prisoners,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,3,NA,4,37
7,Makkai & Veraar,2003,QLD,motor vehicle offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,4.4,NA,2,35
7,Makkai & Veraar,2003,QLD,motor vehicle offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,21.9,NA,4,37
7,Makkai & Veraar,2003,QLD,motor vehicle offence,survival,free time,Yes,DC,accepted vs reffused,NA,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,21.9,NA,4,37
7,Makkai & Veraar,2003,QLD,motor vehicle offence,survival,free time,Yes,DC,standard,prisoners,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,4.4,NA,2,35
7,Makkai & Veraar,2003,QLD,motor vehicle offence,survival,free time,Yes,DC,standard,prisoners,Graduates,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,21.9,NA,4,37
7,Makkai & Veraar,2003,QLD,motor vehicle offence,survival,free time,Yes,DC,standard,prisoners,Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,21.9,NA,4,37
7,Makkai & Veraar,2003,QLD,unlawful drug possession offence,survival,free time,Yes,DC,accepted vs reffused,NA,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,2.7,NA,2,36
7,Makkai & Veraar,2003,QLD,unlawful drug possession offence,survival (regressed),free time,Yes,DC,accepted vs reffused,NA,Graduates,Cox proportional hazards model,"Wilcoxon (Gehan) statistic, df, p; age at referral to the drug court and age at release from the prison (continuous variable); gender (where 1 is male and 0 is female); prior imprisonment (where 1 is prior imprisonment and 0 is no prior imprisonment); prior offences (a count of the number of prior offences); prisoner (a dichotomous variable where 1 is the prisoner group and 0 is the treatment); and refusal (a dichotomous variable where 1 is the refusal group and 0 is the treatment). Note that the failures, graduates, prisoners and refusers were included in this model. ",NA,11.24,NA,4,38
7,Makkai & Veraar,2003,QLD,unlawful drug possession offence,survival (regressed),free time,Yes,DC,accepted vs reffused,NA,Failures,Cox proportional hazards model,"Wilcoxon (Gehan) statistic, df, p; age at referral to the drug court and age at release from the prison (continuous variable); gender (where 1 is male and 0 is female); prior imprisonment (where 1 is prior imprisonment and 0 is no prior imprisonment); prior offences (a count of the number of prior offences); prisoner (a dichotomous variable where 1 is the prisoner group and 0 is the treatment); and refusal (a dichotomous variable where 1 is the refusal group and 0 is the treatment). Note that the failures, graduates, prisoners and refusers were included in this model. ",NA,11.24,NA,4,38
7,Makkai & Veraar,2003,QLD,unlawful drug possession offence,survival,free time,Yes,DC,standard,prisoners,Graduates/Failures,Kaplan Meier survival functions,"Wilcoxon (Gehan) statistic, df, p",NA,2.7,NA,2,36
7,Makkai & Veraar,2003,QLD,unlawful drug possession offence,survival (regressed),free time,Yes,DC,standard,prisoners,Graduates,Cox proportional hazards model,"Wilcoxon (Gehan) statistic, df, p; age at referral to the drug court and age at release from the prison (continuous variable); gender (where 1 is male and 0 is female); prior imprisonment (where 1 is prior imprisonment and 0 is no prior imprisonment); prior offences (a count of the number of prior offences); prisoner (a dichotomous variable where 1 is the prisoner group and 0 is the treatment); and refusal (a dichotomous variable where 1 is the refusal group and 0 is the treatment). Note that the failures, graduates, prisoners and refusers were included in this model. ",NA,11.24,NA,4,38
7,Makkai & Veraar,2003,QLD,unlawful drug possession offence,survival (regressed),free time,Yes,DC,standard,prisoners,Failures,Cox proportional hazards model,"Wilcoxon (Gehan) statistic, df, p; age at referral to the drug court and age at release from the prison (continuous variable); gender (where 1 is male and 0 is female); prior imprisonment (where 1 is prior imprisonment and 0 is no prior imprisonment); prior offences (a count of the number of prior offences); prisoner (a dichotomous variable where 1 is the prisoner group and 0 is the treatment); and refusal (a dichotomous variable where 1 is the refusal group and 0 is the treatment). Note that the failures, graduates, prisoners and refusers were included in this model. ",NA,11.24,NA,4,38
8,Payne,2005,QLD,offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Log-Rank Test of Equality,Log-rank Test of Equality: (p=0.2635),chi,1.25,NA,1,88
8,Payne,2005,QLD,offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Wilcoxon Statistic,Wilcoxon Statistic: (p=0.2001),chi,1.64,NA,1,88
8,Payne,2005,QLD,offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates,Log-Rank Test of Equality,"Log-rank Test of Equality: (p=0.003)
",chi,16.39,NA,2,90
8,Payne,2005,QLD,offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.003)",chi,16.57,NA,2,90
8,Payne,2005,QLD,offence,survival,free time,Yes,DC,accepted vs refused,NA,Failures,Log-Rank Test of Equality,"Log-rank Test of Equality: (p=0.003)
",chi,16.39,NA,2,90
8,Payne,2005,QLD,offence,survival,free time,Yes,DC,accepted vs refused,NA,Failures,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.003)",chi,16.57,NA,2,90
8,Payne,2005,QLD,property offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Log-Rank Test of Equality,"Log Rank Test of Equality: (p=0.2625)
",chi,1.26,NA,1,88
8,Payne,2005,QLD,property offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.1531)",chi,2.04,NA,1,88
8,Payne,2005,QLD,property offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates,Log-Rank Test of Equality,"Log-rank Test of Equality: (p=0.003)
",chi,16.39,NA,2,91
8,Payne,2005,QLD,property offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.003)",chi,16.57,NA,2,91
8,Payne,2005,QLD,property offence,survival,free time,Yes,DC,accepted vs refused,NA,Failures,Log-Rank Test of Equality,"Log-rank Test of Equality: (p=0.003)
",chi,16.39,NA,2,91
8,Payne,2005,QLD,property offence,survival,free time,Yes,DC,accepted vs refused,NA,Failures,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.003)",chi,16.57,NA,2,91
8,Payne,2005,QLD,drug offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Log-Rank Test of Equality,"Log Rank Test of Equality: (p=0.0629)
",chi,3.26,NA,1,89
8,Payne,2005,QLD,drug offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.0220)",chi,5.24,NA,1,89
8,Payne,2005,QLD,drug offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates,Log-Rank Test of Equality,"Log-rank Test of Equality: (p=0.003)
",chi,16.39,NA,2,91
8,Payne,2005,QLD,drug offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.003)",chi,16.57,NA,2,91
8,Payne,2005,QLD,drug offence,survival,free time,Yes,DC,accepted vs refused,NA,Failures,Log-Rank Test of Equality,"Log-rank Test of Equality: (p=0.003)
",chi,16.39,NA,2,91
8,Payne,2005,QLD,drug offence,survival,free time,Yes,DC,accepted vs refused,NA,Failures,Wilcoxon Statistic,"
Wilcoxon Statistic: (p=0.003)",chi,16.57,NA,2,91
8,Payne,2005,QLD,offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Cox proportional hazard regression,"age at referral, gender, court location, prior imprisonment (y/n), prior offences (cont), referring offences (cont), refusal group (y/n). Note there is no other information reported ",NA,NA,NA,NA,92
8,Payne,2005,QLD,property offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Cox proportional hazard regression,"age at referral, gender, court location, prior imprisonment (y/n), prior offences (cont), referring offences (cont), refusal group (y/n). Note there is no other information reported ",NA,NA,NA,NA,92
8,Payne,2005,QLD,drug offence,survival,free time,Yes,DC,accepted vs refused,NA,Graduates/Failures,Cox proportional hazard regression,"age at referral, gender, court location, prior imprisonment (y/n), prior offences (cont), referring offences (cont), refusal group (y/n). Note there is no other information reported ",NA,NA,NA,NA,92
9a,Ross,2009,VIC,proven offence ,survival,free time,Yes,MC,standard,NA,Graduates,Kaplan-Meier Survival Analysis : 1 - cumulative sum,"Note: the week/ % reoffended points are explicitly written in the PWC evaluation document. From Ross: At 100 days, around 20% of both groups have recidivated, and at 200 days around 30% of the CISP group and 32.5% of the control group have recidivated. By 400 days the degree of divergence is six percent (37% of the CISP group and 43% of the control group) and by 600 days it is eight percent (40% of the CISP group and 48% of the control group. The extent of divergence reaches its maximum of ten percent by around 700 days. Will need to request more information",NA,NA,NA,NA,115
9a,Ross,2009,VIC,proven offence ,survival,free time,Yes,MC,standard,NA,Graduates,Mantel-Cox log-rank,"The test has a chi-square distribution,  probability of 0.125.",chi,2.36,NA,NA,116
10,Payne,2008,QLD,offences,survival,free time,No,DC,standard,None Reported,Graduates,Log-rank test of equality,"Graduates vs prisoners; p=.0688, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,3.31,NA,1,60
10,Payne,2008,QLD,offences,survival,free time,No,DC,standard,None Reported,Graduates,Wilcoxon statistic,"Graduates vs prisoners; p=.0313, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,4.64,NA,1,60
10,Payne,2008,QLD,offences,survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Log-rank test of equality,"Log-rank test of equality; p=.0046, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,10.77,NA,2,60
10,Payne,2008,QLD,offences,survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Wilcoxon statistic,"Wilcoxon statistic: p=.0005, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,15.36,NA,2,60
10,Payne,2008,QLD,property offences,survival,free time,No,DC,standard,None Reported,Graduates,Log-rank test of equality,"Log-rank test of equality: Graduates vs prisoners p=.0003,  survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,12.9,NA,1,60
10,Payne,2008,QLD,property offences,survival,free time,No,DC,standard,None Reported,Graduates,Wilcoxon statistic,"Wilcoxon statistic:  Graduates vs prisoners; p=.0004, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,12.53,NA,1,60
10,Payne,2008,QLD,property offences,survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Log-rank test of equality,"Log-rank test of equality: p=.0005, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,15.08,NA,2,60
10,Payne,2008,QLD,property offences,survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Wilcoxon statistic,"Wilcoxon statistic:  p=.0004), survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,15.84,NA,2,60
10,Payne,2008,QLD,drug offences,survival,free time,No,DC,standard,None Reported,Graduates,Log-rank test of equality,"Log-rank test of equality:  p=.137, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,2.21,NA,1,61
10,Payne,2008,QLD,drug offences,survival,free time,No,DC,standard,None Reported,Graduates,Wilcoxon statistic,"Wilcoxon statistic: p=.098), survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,2.74,NA,1,61
10,Payne,2008,QLD,drug offences,survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Log-rank test of equality,"Log-rank test of equality: p=.0138, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,8.57,NA,2,61
10,Payne,2008,QLD,drug offences,survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Wilcoxon statistic,"Wilcoxon statistic p=.007), survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,9.93,NA,2,61
10,Payne,2008,QLD,any offence (excluding breach),survival,free time,No,DC,standard,None Reported,Graduates,Log-rank test of equality,"Log-rank test of equality:  p=.0078, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,7.07,NA,1,61
10,Payne,2008,QLD,any offence (excluding breach),survival,free time,No,DC,standard,None Reported,Graduates,Wilcoxon statistic,"Wilcoxon statistic: p=.0024, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,9.18,NA,1,61
10,Payne,2008,QLD,any offence (excluding breach),survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Log-rank test of equality,"Log-rank test of equality: p=.0029), survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,11.68,NA,2,61
10,Payne,2008,QLD,any offence (excluding breach),survival,free time,No,DC,standard,None Reported,Graduates & Failures (separate),Wilcoxon statistic,"Wilcoxon statistic: p=.0002, survival brackets: Percent reoffended within six months, Percent reoffended within 12 months, Percent reoffended within 24 months, Percent reoffended by 2 June 2006, Days to 50 percent survival",chi,17.14,NA,2,61
10,Payne,2008,QLD,offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Pre-treatment growth (six months): Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); ",Estimate,3.66,NA,NA,67
10,Payne,2008,QLD,offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); ",Estimate,1.39,NA,NA,67
10,Payne,2008,QLD,offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); ",Estimate,-62.1,NA,NA,67
10,Payne,2009,QLD,offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Pre-treatment growth (six months):: Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); sig different from prisoners' estimate: yes",Estimate,3,NA,NA,67
10,Payne,2010,QLD,offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); sig different from prisoners' estimate: yes",Estimate,0.61,NA,NA,67
10,Payne,2011,QLD,offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); sig different from prisoners' estimate: yes",Estimate,-79.6,NA,NA,67
10,Payne,2011,QLD,offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Pre-treatment growth (six months):: Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); sig different from prisoners' estimate: no",Estimate,3.74,NA,NA,67
10,Payne,2011,QLD,offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); sig different from prisoners' estimate: no",Estimate,1.38,NA,NA,67
10,Payne,2011,QLD,offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (3.16, p=.00), Initial status (8.47, p=.00), Rate of change (0.09, p=.00), Covariance (–0.31), Deviance (45264.03); sig different from prisoners' estimate: no",Estimate,-63.1,NA,NA,67
10,Payne,2008,QLD,property offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Pre-treatment growth (six months): Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57)",Estimate,1.84,NA,NA,69
10,Payne,2008,QLD,property offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57)",Estimate,0.7,NA,NA,69
10,Payne,2008,QLD,property offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57)",Estimate,-62.2,NA,NA,69
10,Payne,2009,QLD,property offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Pre-treatment growth (six months): Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57); sig different from prisoners' estimate: no",Estimate,1.91,NA,NA,69
10,Payne,2010,QLD,property offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57); sig different from prisoners' estimate: yes",Estimate,0.11,NA,NA,69
10,Payne,2011,QLD,property offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57); sig different from prisoners' estimate: yes",Estimate,-94.4,NA,NA,69
10,Payne,2011,QLD,property offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Pre-treatment growth (six months): Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57); sig different from prisoners' estimate: yes",Estimate,2.2,NA,NA,69
10,Payne,2011,QLD,property offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57); sig different from prisoners' estimate: no",Estimate,0.48,NA,NA,69
10,Payne,2011,QLD,property offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (1.37, p=.00), Initial status (3.52, p=.00), Rate of change (0.03, p=.00), Covariance (–0.06), Deviance (36327.57); sig different from prisoners' estimate: yes",Estimate,-78.1,NA,NA,69
10,Payne,2008,QLD,drug offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Pre-treatment growth (six months): Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79) ",Estimate,0.5,NA,NA,71
10,Payne,2008,QLD,drug offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79) ",Estimate,0.21,NA,NA,71
10,Payne,2008,QLD,drug offences,change in offending (regressed),free time,No,DC,prisoners only,None Reported,NA,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79) ",Estimate,-57.4,NA,NA,71
10,Payne,2009,QLD,drug offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Pre-treatment growth (six months): Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79); sig different from prisoners' estimate:yes ",Estimate,0.27,NA,NA,71
10,Payne,2010,QLD,drug offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79) ; sig different from prisoners' estimate: no",Estimate,0.18,NA,NA,71
10,Payne,2011,QLD,drug offences,change in offending (regressed),free time,No,DC,graduates only,None Reported,Graduates,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79) ; sig different from prisoners' estimate: yes",Estimate,-31.7,NA,NA,71
10,Payne,2011,QLD,drug offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Pre-treatment growth (six months): Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79); sig different from prisoners' estimate: no ",Estimate,0.41,NA,NA,71
10,Payne,2011,QLD,drug offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Post-treatment growth (six months): Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79); sig different from prisoners' estimate: no ",Estimate,0.27,NA,NA,71
10,Payne,2011,QLD,drug offences,change in offending (regressed),free time,No,DC,terminates only,None Reported,Failures,multi-level analysis for change,"Percent decline in offending: Variance components: Within person (0.15, p=.00), Initial status (0.45, p=.00), Rate of change (0.004, p=.00), Covariance (–0.02), Deviance (12759.79); sig different from prisoners' estimate: no",Estimate,-32.8,NA,NA,71
11,Ziersch & Marshall,2012,SA,offences,survival,free time,Yes,DC,standard,None Reported,Graduates & Failures (separate),Log-rank test of equality,Total p=.046,chi,6.17,NA,2,24
11,Ziersch & Marshall,2012,SA,offences,survival,free time,Yes,DC,standard,None Reported,Graduates,Log-rank test of equality,p=.014 ,chi,6.02,NA,1,24
11,Ziersch & Marshall,2012,SA,offences,survival,free time,Yes,DC,standard,None Reported,Graduates & Failures (separate),Wilcoxon statistic,p=.233,chi,2.91,NA,2,24
11,Ziersch & Marshall,2012,SA,drug offences,survival,free time,Yes,DC,standard,None Reported,Graduates & Failures (separate),Log-rank test of equality,Total p=.001,chi,13.85,NA,2,25
11,Ziersch & Marshall,2012,SA,drug offences,survival,free time,Yes,DC,standard,None Reported,Graduates,Log-rank test of equality,p=.003,chi,3.16,NA,1,25
11,Ziersch & Marshall,2012,SA,drug offences,survival,free time,Yes,DC,standard,None Reported,Graduates & Failures (separate),Wilcoxon statistic,p=.002,chi,12.34,NA,2,25